time_us,encoder_value
11561401, 771990
11571411, 772919
11581420, 773846
11591430, 774773
11601440, 775697
11611450, 776619
11621459, 777544
11631469, 778468
11641479, 779394
11651489, 780320
11661499, 781248
11671508, 782178
11681518, 783106
11691528, 784032
11701538, 784957
11711547, 785883
11721557, 786808
11731567, 787735
11741577, 788661
11751586, 789590
11761596, 790520
11771606, 791450
11781616, 792379
11791625, 793301
11801635, 794229
11811645, 795155
11821655, 796082
11831665, 797010
11841674, 797938
11851684, 798868
11861694, 799798
11871704, 800727
11881713, 801653
11891723, 802584
11901733, 803513
11911743, 804441
11921752, 805370
11931762, 806299
11941772, 807229
11951782, 808158
11961791, 809086
11971801, 810013
11981811, 810941
11991821, 811874
12001831, 812804
12011840, 813733
12021850, 814665
12031860, 815594
12041870, 816525
12051879, 817454
12061889, 818383
12071899, 819312
12081909, 820245
12091918, 821175
12101928, 822108
12111938, 823041
12121948, 823973
12131958, 824903
12141967, 825830
12151977, 826759
12161987, 827689
12171997, 828620
12182006, 829552
12192016, 830485
12202026, 831418
12212036, 832353
12222045, 833285
12232055, 834215
12242065, 835147
12252075, 836077
12262084, 837007
12272094, 837939
12282104, 838872
12292114, 839806
12302124, 840740
12312133, 841672
12322143, 842601
12332153, 843535
12342163, 844468
12352172, 845400
12362182, 846332
12372192, 847266
12382202, 848200
12392211, 849132
12402221, 850066
12412231, 851000
12422241, 851930
12432250, 852866
12442260, 853800
12452270, 854734
12462280, 855669
12472290, 856604
12482299, 857537
12492309, 858469
12502319, 859401
12512329, 860335
12522338, 861271
12532348, 862206
12542358, 863145
12552368, 864083
12562377, 865019
12572387, 865953
12582397, 866885
12592407, 867819
12602416, 868751
12612426, 869686
12622436, 870619
12632446, 871555
12642456, 872493
12652465, 873430
12662475, 874366
12672485, 875298
12682495, 876233
12692504, 877169
12702514, 878102
12712524, 879038
12722534, 879975
12732543, 880911
12742553, 881847
12752563, 882781
12762573, 883716
12772583, 884651
12782592, 885590
12792602, 886525
12812622, 888400
12822631, 889336
12832641, 890272
12842651, 891207
12852661, 892142
12862670, 893079
12872680, 894016
12882690, 894953
12892700, 895894
12902709, 896834
12912719, 897774
12922729, 898711
12932739, 899645
12942749, 900580
12952758, 901516
12962768, 902454
12972778, 903390
12982788, 904331
12992797, 905271
13002807, 906210
13012817, 907148
13022827, 908082
13032836, 909020
13042846, 909958
13052856, 910895
13062866, 911833
13072875, 912774
13082885, 913713
13092895, 914652
13102905, 915590
13112915, 916527
13122924, 917466
13132934, 918406
13142944, 919346
13152954, 920287
13162963, 921229
13172973, 922168
13182983, 923107
13192993, 924043
13203002, 924980
13213012, 925918
13223022, 926858
13233032, 927799
13243041, 928741
13253051, 929683
13273071, 931566
13283081, 932502
13293090, 933439
13303100, 934378
13313110, 935317
13323120, 936257
13333129, 937198
13343139, 938139
13353149, 939081
13363159, 940020
13373168, 940956
13383178, 941899
13393188, 942841
13403198, 943779
13413208, 944720
13423217, 945661
13433227, 946601
13443237, 947542
13453247, 948481
13463256, 949420
13473266, 950360
13483276, 951302
13493286, 952243
13503295, 953186
13513305, 954130
13523315, 955072
13533325, 956014
13543334, 956951
13553344, 957889
13563354, 958829
13573364, 959769
13583374, 960709
13593383, 961652
13603393, 962595
13613403, 963538
13623413, 964481
13633422, 965419
13643432, 966360
13653442, 967303
13663452, 968242
13673461, 969184
13683471, 970127
13693481, 971070
13703491, 972012
13713500, 972952
13723510, 973893
13733520, 974832
13743530, 975776
13753540, 976719
13763549, 977662
13773559, 978605
13783569, 979548
13793579, 980489
13803588, 981430
13813598, 982372
13823608, 983313
13833618, 984253
13843627, 985195
13853637, 986140
13863647, 987084
13873657, 988029
13883666, 988974
13893676, 989912
13903686, 990855
13913696, 991797
13923706, 992738
13933715, 993681
13943725, 994626
13953735, 995570
13963745, 996514
13973754, 997458
13983764, 998402
13993774, 999346
14003784, 1000292
14013793, 1001234
14023803, 1002179
14033813, 1003124
14043823, 1004069
14053833, 1005013
14063842, 1005952
14073852, 1006894
14083862, 1007837
14093872, 1008782
14103881, 1009726
14113891, 1010672
14123901, 1011619
14133911, 1012566
14143920, 1013511
14153930, 1014453
14163940, 1015397
14173950, 1016340
14183959, 1017282
14193969, 1018227
14203979, 1019173
14213989, 1020118
14223999, 1021064
14234008, 1022008
14244018, 1022949
14254028, 1023894
14264038, 1024841
14274047, 1025785
14284057, 1026729
14294067, 1027676
14304077, 1028621
14314086, 1029565
14324096, 1030509
14334106, 1031453
14344116, 1032396
14354125, 1033339
14364135, 1034284
14374145, 1035230
14384155, 1036177
14394165, 1037126
14404174, 1038071
14414184, 1039014
14424194, 1039959
14434204, 1040903
14444213, 1041847
14454223, 1042793
14464233, 1043739
14474243, 1044685
14484252, 1045632
14494262, 1046579
14504272, 1047522
14514282, 1048471
14524291, 1049416
14534301, 1050360
14544311, 1051307
14554321, 1052254
14564331, 1053201
14574340, 1054147
14584350, 1055090
14594360, 1056037
14604370, 1056981
14614379, 1057927
14624389, 1058874
14634399, 1059822
14644409, 1060771
14654418, 1061721
14664428, 1062669
14674438, 1063612
14684448, 1064559
14694458, 1065503
14704467, 1066448
14714477, 1067395
14724487, 1068343
14734497, 1069290
14744506, 1070237
14754516, 1071184
14764526, 1072131
